Design,Scaffold,Rows (helices),Height (nm),Columns (helices),Width (nm),Recalc Width (nm),Length (bases),Length (nm),Check size
1,1512,2,6.75,9,17.9,17.838,84,28.6,1512
2,1512,3,10.125,6,12,11.993,84,28.6,1512
3,1512,2,6.75,6,12,11.993,126,42.8,1512
4,3024,2,6.75,18,35.4,35.375,84,28.6,3024
5,3024,9,30.375,4,8.1,8.096,84,28.6,3024
6,3024,6,20.25,6,12,11.993,84,28.6,3024
7,3024,3,10.125,12,23.7,23.684,84,28.6,3024
8,3024,2,6.75,12,23.7,23.684,126,42.8,3024
9,3024,4,13.5,6,12,11.993,126,42.8,3024
10,3024,3,10.125,8,15.9,15.89,126,42.8,3024
11,3024,6,20.25,4,8.1,8.096,126,42.8,3024
12,5544,11,37.125,6,12,11.993,84,28.6,5544
13,5544,3,10.125,22,43.2,43.17,84,28.6,5544
14,5544,11,37.125,4,8.1,8.096,126,42.8,5544
15,5544,2,6.75,22,43.2,43.17,126,42.8,5544
16,7560,2,6.75,45,88.1,87.987,84,28.6,7560
17,7560,3,10.125,30,58.8,58.758,84,28.6,7560
18,7560,5,16.875,18,35.4,35.375,84,28.6,7560
19,7560,15,50.625,6,12,11.993,84,28.6,7560
20,7560,9,30.375,10,19.8,19.787,84,28.6,7560
21,7560,10,33.75,6,12,11.993,126,42.8,7560
22,7560,6,20.25,10,19.8,19.787,126,42.8,7560
23,7560,5,16.875,12,23.7,23.684,126,42.8,7560
24,7560,3,10.125,20,39.3,39.273,126,42.8,7560
25,7560,2,6.75,30,58.8,58.758,126,42.8,7560
26,7560,2,6.75,18,35.4,35.375,210,71.4,7560
27,7560,3,10.125,12,23.7,23.684,210,71.4,7560
28,7560,6,20.25,6,12,11.993,210,71.4,7560
29,7560,2,6.75,18,35.4,35.375,210,71.4,7560
30,7560,3,10.125,12,23.7,23.684,210,71.4,7560
31,7560,6,20.25,6,12,11.993,210,71.4,7560
32,7560,2,6.75,15,29.6,29.53,252,85.7,7560
33,7560,3,10.125,10,19.8,19.787,252,85.7,7560
34,7560,5,16.875,6,12,11.993,252,85.7,7560
35,7560,2,6.75,15,29.6,29.53,252,85.7,7560
36,8064,2,6.75,48,93.9,93.832,84,28.6,8064
37,8064,3,10.125,32,62.7,62.655,84,28.6,8064
38,8064,4,13.5,24,47.1,47.067,84,28.6,8064
39,8064,6,20.25,16,31.5,31.478,84,28.6,8064
40,8064,8,27,12,23.7,23.684,84,28.6,8064
41,8064,12,40.5,8,15.9,15.89,84,28.6,8064
42,8064,16,54,6,12,11.993,84,28.6,8064
43,8064,2,6.75,32,62.7,62.655,126,42.8,8064
44,8064,4,13.5,16,31.5,31.478,126,42.8,8064
45,8064,8,27,8,15.9,15.89,126,42.8,8064
46,8064,2,6.75,24,47.1,47.067,168,57.1,8064
47,8064,3,10.125,16,31.5,31.478,168,57.1,8064
48,8064,4,13.5,12,23.7,23.684,168,57.1,8064
49,8064,6,20.25,8,15.9,15.89,168,57.1,8064
50,8064,8,27,6,12,11.993,168,57.1,8064
